Year,Overall,South,Center,North
2012,5.0275586488750665,1.6630508646126232,1.6652473291271137,1.6992604551353312
2010,5.0276677256661495,1.6537030331757896,1.6567314396230144,1.7172332528673455
2018,5.029394323990212,1.672930251095008,1.652714984843929,1.7037490880512756
2014,4.988081632565726,1.6398587884698275,1.6372276938256418,1.710995150270257
2022,5.025634828397797,1.669061124565767,1.6593006650313913,1.697273038800639
2016,4.977320187724859,1.6272339054774219,1.6516231950886917,1.698463087158745
2020,4.979757295411937,1.6151405253297269,1.6407253074792434,1.7238914626029667
2013,5.0038812668938375,1.6704406709888466,1.6329376340762816,1.7005029618287084
2011,4.9600688267032815,1.6472872591761967,1.6429137268777108,1.669867840649375
2023,4.942655273809026,1.6247644762019806,1.6360553066245855,1.6818354909824609
2019,4.9599214243383365,1.6403384037297175,1.6323652267610773,1.6872177938475426
2015,4.930311900289408,1.6620344788337391,1.6286937160536676,1.6395837054020015
2021,4.994432265775563,1.6542382900033399,1.6364082766312082,1.7037856991410143
2017,4.997406631653153,1.653462299623278,1.6445615504881124,1.6993827815417617
