Row,Col,Difference
1,35,-53.084663
1,36,-46.969658
2,34,-42.225418
2,35,-34.673874
2,36,-47.40767
3,33,-56.764328
3,34,-48.52449
3,35,-46.459076
3,36,-55.680084
4,33,-59.688637
4,34,-57.371216
4,35,-51.794296
4,36,-53.862427
5,27,-62.646294
5,28,-64.185486
5,31,-43.10219
5,32,-53.33616
5,33,-57.473297
5,34,-55.84754
5,35,-58.768784
5,36,-49.962395
6,26,-67.75824
6,27,-70.80256
6,28,-64.123886
6,29,-64.23119
6,30,-62.999924
6,31,-53.093094
6,32,-58.23629
6,33,-53.877686
6,34,-59.668297
6,35,-56.723053
7,25,-77.66954
7,26,-72.26249
7,27,-77.96159
7,28,-75.71802
7,29,-70.96829
7,30,-60.449104
7,31,-57.15985
7,32,-53.66661
7,33,-53.059097
7,34,-47.683624
7,35,-39.95408
8,26,-82.78839
8,27,-78.54682
8,28,-81.54796
8,29,-76.87744
8,30,-76.81952
8,31,-67.24341
8,32,-61.462753
8,33,-53.61938
8,34,-46.772564
8,35,-36.716045
9,26,-80.304504
9,27,-81.187584
9,28,-77.298805
9,29,-76.11201
9,30,-67.69339
9,31,-59.779648
9,32,-59.37624
9,33,-48.109432
9,34,-42.391975
9,35,-31.873058
10,26,-75.530464
10,27,-75.46677
10,28,-78.67692
10,29,-76.996254
10,30,-62.561638
10,31,-52.533043
10,32,-52.607883
10,33,-45.52351
10,34,-37.927193
10,35,-30.433971
11,27,-69.479324
11,28,-80.11366
11,29,-73.685455
11,30,-62.200882
11,31,-51.263718
11,32,-42.318237
11,33,-35.55902
11,34,-33.809456
11,35,-28.987041
12,28,-72.37069
12,29,-67.17506
12,30,-56.51673
12,31,-42.64926
12,32,-38.60802
12,33,-32.627777
12,34,-33.659786
13,29,-67.286316
13,30,-59.21843
13,31,-44.151573
13,32,-37.822456
13,33,-37.165245
13,34,-34.65413
14,29,-69.10314
14,30,-52.786827
14,31,-39.448303
14,32,-38.21456
14,33,-29.907486
14,34,-29.249031
14,35,-27.32129
15,27,-79.41128
