latitude,longitude,temperature_C
15.0,-17.0,25.863835616438354
15.0,-16.0,27.329643835616437
15.0,-15.0,28.305260273972603
15.0,-14.0,28.464904109589042
15.0,-13.0,28.197808219178086
15.0,-12.0,28.20827397260274
15.0,-11.0,28.346739726027394
15.0,-10.0,27.733698630136985
15.0,-9.0,28.365150684931503
15.0,-8.0,28.510164383561648
15.0,-7.0,28.452465753424658
15.0,-6.0,28.421068493150685
15.0,-5.0,28.338794520547946
15.0,-4.0,28.246465753424655
16.0,-17.0,24.311808219178086
16.0,-16.0,26.66304109589041
16.0,-15.0,28.460520547945205
16.0,-14.0,29.025561643835623
16.0,-13.0,29.01701369863014
16.0,-12.0,28.237369863013697
16.0,-11.0,28.566438356164383
16.0,-10.0,28.620410958904113
16.0,-9.0,29.162849315068488
16.0,-8.0,29.22950684931507
16.0,-7.0,28.71545205479452
16.0,-6.0,28.52430136986301
16.0,-5.0,28.65057534246576
16.0,-4.0,28.906438356164383
17.0,-17.0,23.935726027397262
17.0,-16.0,25.16460273972603
17.0,-15.0,28.634438356164384
17.0,-14.0,29.348356164383556
17.0,-13.0,29.416986301369864
17.0,-12.0,28.053534246575346
17.0,-11.0,28.63391780821918
17.0,-10.0,28.146931506849313
17.0,-9.0,28.759671232876713
17.0,-8.0,28.772109589041094
17.0,-7.0,28.138273972602743
17.0,-6.0,28.291342465753424
17.0,-5.0,28.60706849315069
17.0,-4.0,28.67446575342466
18.0,-17.0,23.531041095890405
18.0,-16.0,24.108547945205487
18.0,-15.0,27.899972602739727
18.0,-14.0,28.663287671232872
18.0,-13.0,28.841534246575343
18.0,-12.0,27.8481095890411
18.0,-11.0,27.407369863013695
18.0,-10.0,27.760712328767124
18.0,-9.0,28.192356164383558
18.0,-8.0,28.30350684931507
18.0,-7.0,27.50975342465754
18.0,-6.0,27.623589041095894
18.0,-5.0,27.77780821917808
18.0,-4.0,28.389945205479453
19.0,-17.0,22.857260273972603
19.0,-16.0,25.146602739726028
19.0,-15.0,28.605890410958907
19.0,-14.0,28.951835616438352
19.0,-13.0,28.920794520547947
19.0,-12.0,28.297068493150686
19.0,-11.0,27.297671232876716
19.0,-10.0,27.15901369863014
19.0,-9.0,27.614931506849317
19.0,-8.0,27.631178082191777
19.0,-7.0,27.649424657534247
19.0,-6.0,27.854246575342465
19.0,-5.0,27.95958904109589
19.0,-4.0,28.18005479452055
20.0,-17.0,22.43167123287671
20.0,-16.0,25.731643835616442
20.0,-15.0,28.30967123287671
20.0,-14.0,29.342520547945206
20.0,-13.0,28.95068493150685
20.0,-12.0,27.10578082191781
20.0,-11.0,26.978712328767124
20.0,-10.0,26.852027397260272
20.0,-9.0,27.45775342465753
20.0,-8.0,27.681726027397264
20.0,-7.0,27.862575342465753
20.0,-6.0,28.00290410958904
20.0,-5.0,28.121095890410956
20.0,-4.0,28.31147945205479
21.0,-17.0,22.773287671232875
21.0,-16.0,26.45517808219178
21.0,-15.0,27.852
21.0,-14.0,28.290109589041094
21.0,-13.0,28.040219178082193
21.0,-12.0,27.058
21.0,-11.0,26.86276712328767
21.0,-10.0,26.983150684931502
21.0,-9.0,27.55452054794521
21.0,-8.0,27.728739726027403
21.0,-7.0,28.094246575342464
21.0,-6.0,28.430849315068492
21.0,-5.0,28.71569863013699
21.0,-4.0,28.625397260273967
22.0,-17.0,20.926191780821917
22.0,-16.0,24.505643835616436
22.0,-15.0,26.981917808219176
22.0,-14.0,27.584356164383564
22.0,-13.0,27.391041095890408
22.0,-12.0,26.66350684931507
22.0,-11.0,26.563123287671235
22.0,-10.0,27.067123287671233
22.0,-9.0,27.739534246575342
22.0,-8.0,27.816109589041098
22.0,-7.0,28.167178082191782
22.0,-6.0,28.514986301369863
22.0,-5.0,28.97391780821918
22.0,-4.0,29.139397260273974
23.0,-17.0,19.654273972602738
23.0,-16.0,20.774246575342467
23.0,-15.0,24.8452602739726
23.0,-14.0,25.914465753424658
23.0,-13.0,26.15953424657534
23.0,-12.0,26.382465753424658
23.0,-11.0,26.98156164383562
23.0,-10.0,27.727123287671233
23.0,-9.0,28.223835616438357
23.0,-8.0,28.255397260273977
23.0,-7.0,27.917534246575343
23.0,-6.0,28.194328767123288
23.0,-5.0,28.551726027397258
23.0,-4.0,28.427397260273974
24.0,-17.0,20.243835616438357
24.0,-16.0,19.643698630136985
24.0,-15.0,22.747260273972604
24.0,-14.0,24.268904109589045
24.0,-13.0,25.046054794520547
24.0,-12.0,26.240767123287668
24.0,-11.0,26.621260273972602
24.0,-10.0,27.065479452054795
24.0,-9.0,27.635643835616445
24.0,-8.0,27.29994520547945
24.0,-7.0,28.111342465753424
24.0,-6.0,28.2667397260274
24.0,-5.0,27.706164383561642
24.0,-4.0,27.710657534246575
