Year,Overall,South,Center,North
2012,5.023076038571946,1.6430371476786079,1.6684124435157137,1.7116264473776248
2010,5.009067898700858,1.6579149353268827,1.6335746078599713,1.7175783555140045
2018,5.059775958822103,1.6638264461467416,1.6817388822705428,1.7142106304048186
2014,5.00639049728103,1.6619028418988928,1.634641376857864,1.7098462785242738
2022,4.995166430905665,1.6450670704072976,1.6451591663192384,1.704940194179128
2016,5.066296954284043,1.6586453046851506,1.6774815863196302,1.730170063279262
2020,5.011820265731856,1.683634693108751,1.621321697759228,1.7068638748638767
2013,4.968206567675815,1.6404237883667023,1.6350960443384863,1.6926867349706265
2011,5.021273613688877,1.6624120606115471,1.6688625684682001,1.68999898460913
2023,4.994934990962971,1.6771748792028294,1.6381884120676762,1.6795716996924648
2019,4.991342380070048,1.6438070760765542,1.6544733366278876,1.6930619673656055
2015,4.928077293170219,1.6458155451293597,1.618145035754674,1.664116712286185
2021,4.972779457697719,1.6435432126588811,1.6452711335181616,1.6839651115206757
2017,4.993483491321014,1.672622452784206,1.6507137635230216,1.6701472750137867
