Date,T2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,WS10M,RH2M
2010-01-01,18.05,0.0,5.71,5.33,20.37
2010-01-02,18.28,0.0,5.86,4.91,19.92
2010-01-03,18.04,0.0,5.95,4.43,17.18
2010-01-04,17.47,0.0,5.75,4.76,20.83
2010-01-05,16.92,0.0,5.88,4.31,20.81
2010-01-06,17.24,0.0,5.63,4.06,19.16
2010-01-07,18.12,0.0,5.96,3.9,17.29
2010-01-08,19.32,0.0,5.93,3.85,14.93
2010-01-09,19.19,0.0,5.78,4.15,16.83
2010-01-10,19.95,0.0,5.74,4.43,20.28
2010-01-11,20.41,0.0,5.5,4.72,21.36
2010-01-12,20.6,0.0,5.84,5.67,20.01
2010-01-13,19.02,0.0,5.76,5.2,18.52
2010-01-14,19.37,0.0,5.94,4.85,18.63
2010-01-15,19.32,0.0,6.0,4.02,15.54
2010-01-16,19.83,0.0,6.13,4.29,14.15
2010-01-17,16.7,0.0,5.91,7.0,22.62
2010-01-18,14.73,0.0,6.01,5.73,30.15
2010-01-19,15.56,0.0,5.98,5.38,29.7
2010-01-20,16.73,0.0,6.06,5.49,22.98
2010-01-21,17.4,0.0,6.34,4.6,20.67
2010-01-22,18.13,0.0,6.28,4.31,20.23
2010-01-23,19.31,0.0,6.3,4.63,18.24
2010-01-24,20.68,0.0,6.25,4.48,18.32
2010-01-25,22.72,0.0,5.97,4.9,21.17
2010-01-26,24.27,0.0,5.7,4.6,18.76
2010-01-27,26.19,0.0,5.87,3.98,18.02
2010-01-28,26.68,0.0,6.05,3.22,17.49
2010-01-29,27.98,0.0,5.14,2.46,16.3
2010-01-30,25.57,0.0,6.06,3.42,15.66
2010-01-31,22.71,0.0,6.32,4.09,14.92
2010-02-01,22.17,0.0,6.45,5.55,14.81
2010-02-02,21.56,0.0,6.53,6.25,12.53
2010-02-03,21.71,0.0,6.07,5.81,15.91
2010-02-04,20.95,0.0,5.43,5.94,16.7
2010-02-05,20.9,0.0,6.23,5.24,23.81
2010-02-06,20.5,0.0,6.44,5.72,23.37
2010-02-07,18.97,0.0,6.74,4.28,18.96
2010-02-08,19.32,0.0,6.75,3.82,15.16
2010-02-09,20.7,0.0,6.63,2.93,13.17
2010-02-10,22.29,0.0,6.67,2.8,10.47
2010-02-11,23.71,0.0,6.65,2.3,9.73
2010-02-12,25.32,0.0,5.71,1.75,9.4
2010-02-13,26.38,0.0,4.88,2.39,10.76
2010-02-14,26.87,0.0,5.64,3.5,10.42
2010-02-15,27.24,0.0,4.67,2.95,12.35
2010-02-16,28.1,0.0,6.41,3.67,11.22
2010-02-17,28.53,0.0,6.6,4.49,10.33
2010-02-18,28.26,0.0,6.71,5.78,12.7
2010-02-19,28.24,0.0,6.62,5.44,14.81
2010-02-20,28.3,0.0,6.53,5.02,13.01
2010-02-21,27.91,0.0,6.92,5.08,12.17
2010-02-22,27.29,0.0,7.04,5.17,10.15
2010-02-23,27.56,0.0,6.88,4.77,10.13
2010-02-24,27.31,0.0,6.92,4.31,8.71
2010-02-25,27.5,0.0,6.62,5.18,12.68
2010-02-26,26.85,0.0,6.42,5.79,14.72
2010-02-27,26.2,0.0,7.22,6.01,12.79
2010-02-28,24.78,0.0,6.94,5.78,10.06
2010-03-01,24.82,0.0,6.73,6.62,10.4
2010-03-02,25.22,0.0,6.8,6.15,14.54
